REGION,SETTLEMENTDATE,TOTALDEMAND,PRICECATEGORY
VIC1,3/01/2021 14:00,3253.16,LOW
VIC1,3/01/2021 14:30,3348.29,LOW
VIC1,3/01/2021 15:00,3509.88,LOW
VIC1,3/01/2021 15:30,3627.24,LOW
VIC1,3/01/2021 16:00,3830.59,LOW
VIC1,3/01/2021 16:30,4089.82,LOW
VIC1,3/01/2021 17:00,4226.77,LOW
VIC1,3/01/2021 17:30,4394.6,LOW
VIC1,3/01/2021 18:00,4486.89,LOW
VIC1,3/01/2021 18:30,4503.31,LOW
VIC1,3/01/2021 19:00,4497.48,LOW
VIC1,3/01/2021 19:30,4442.56,LOW
VIC1,3/01/2021 20:00,4398.38,LOW
VIC1,3/01/2021 20:30,4401.63,LOW
VIC1,3/01/2021 21:00,4314.84,LOW
VIC1,3/01/2021 21:30,4202.87,LOW
VIC1,3/01/2021 22:00,4094.81,LOW
VIC1,3/01/2021 22:30,4021.4,LOW
VIC1,3/01/2021 23:00,4000.95,LOW
VIC1,3/01/2021 23:30,4205.66,LOW
VIC1,4/01/2021 0:00,4149.56,LOW
VIC1,4/01/2021 0:30,3984.71,LOW
VIC1,4/01/2021 1:00,3869.26,LOW
VIC1,4/01/2021 1:30,3734.5,LOW
VIC1,4/01/2021 2:00,3618.33,LOW
VIC1,4/01/2021 2:30,3518.59,LOW
VIC1,4/01/2021 3:00,3443.43,LOW
VIC1,4/01/2021 3:30,3392.46,LOW
VIC1,4/01/2021 4:00,3416.81,LOW
VIC1,4/01/2021 4:30,3511.12,LOW
VIC1,4/01/2021 5:00,3638.19,LOW
VIC1,4/01/2021 5:30,3859.4,LOW
VIC1,4/01/2021 6:00,3989.78,LOW
VIC1,4/01/2021 6:30,4140.08,LOW
VIC1,4/01/2021 7:00,4250.53,LOW
VIC1,4/01/2021 7:30,4217.87,LOW
VIC1,4/01/2021 8:00,4271.48,LOW
VIC1,4/01/2021 8:30,4294.05,LOW
VIC1,4/01/2021 9:00,4217.97,LOW
VIC1,4/01/2021 9:30,4169.97,LOW
VIC1,4/01/2021 10:00,4124.96,LOW
VIC1,4/01/2021 10:30,4118.06,LOW
VIC1,4/01/2021 11:00,4094.33,LOW
VIC1,4/01/2021 11:30,4117.65,LOW
VIC1,4/01/2021 12:00,4091.35,LOW
VIC1,4/01/2021 12:30,4052.83,LOW
VIC1,4/01/2021 13:00,4059.31,LOW
VIC1,4/01/2021 13:30,4070.4,LOW
VIC1,4/01/2021 14:00,4103.22,LOW
VIC1,4/01/2021 14:30,4111.06,LOW
VIC1,4/01/2021 15:00,4156.45,LOW
VIC1,4/01/2021 15:30,4282.9,LOW
VIC1,4/01/2021 16:00,4404.07,LOW
VIC1,4/01/2021 16:30,4584.49,LOW
VIC1,4/01/2021 17:00,4706.15,LOW
VIC1,4/01/2021 17:30,4749.84,LOW
VIC1,4/01/2021 18:00,4735.23,LOW
VIC1,4/01/2021 18:30,4764.18,LOW
VIC1,4/01/2021 19:00,4757.74,LOW
VIC1,4/01/2021 19:30,4681.84,LOW
VIC1,4/01/2021 20:00,4664.87,LOW
VIC1,4/01/2021 20:30,4608.88,LOW
VIC1,4/01/2021 21:00,4509.12,LOW
VIC1,4/01/2021 21:30,4375.26,LOW
VIC1,4/01/2021 22:00,4230.65,LOW
VIC1,4/01/2021 22:30,4112.05,LOW
VIC1,4/01/2021 23:00,4052.42,LOW
VIC1,4/01/2021 23:30,4273.67,LOW
VIC1,5/01/2021 0:00,4289.8,LOW
VIC1,5/01/2021 0:30,4076.68,LOW
VIC1,5/01/2021 1:00,3947.46,LOW
VIC1,5/01/2021 1:30,3832.1,LOW
VIC1,5/01/2021 2:00,3673.33,LOW
VIC1,5/01/2021 2:30,3585.96,LOW
VIC1,5/01/2021 3:00,3535.26,LOW
VIC1,5/01/2021 3:30,3528.22,LOW
VIC1,5/01/2021 4:00,3551.25,LOW
VIC1,5/01/2021 4:30,3670.82,LOW
VIC1,5/01/2021 5:00,3786.25,LOW
VIC1,5/01/2021 5:30,3975.69,LOW
VIC1,5/01/2021 6:00,4111.64,LOW
VIC1,5/01/2021 6:30,4316.36,LOW
VIC1,5/01/2021 7:00,4429.72,LOW
VIC1,5/01/2021 7:30,4442.2,LOW
VIC1,5/01/2021 8:00,4474.73,LOW
VIC1,5/01/2021 8:30,4504.89,LOW
VIC1,5/01/2021 9:00,4508.93,LOW
VIC1,5/01/2021 9:30,4497.06,LOW
VIC1,5/01/2021 10:00,4484.12,LOW
VIC1,5/01/2021 10:30,4516.7,LOW
VIC1,5/01/2021 11:00,4478.25,LOW
VIC1,5/01/2021 11:30,4467.1,LOW
VIC1,5/01/2021 12:00,4461.6,LOW
VIC1,5/01/2021 12:30,4472.16,LOW
VIC1,5/01/2021 13:00,4482.02,LOW
VIC1,5/01/2021 13:30,4426.79,LOW
VIC1,5/01/2021 14:00,4346.81,LOW
VIC1,5/01/2021 14:30,4355.23,LOW
VIC1,5/01/2021 15:00,4413.4,LOW
VIC1,5/01/2021 15:30,4515.89,LOW
VIC1,5/01/2021 16:00,4555.1,LOW
VIC1,5/01/2021 16:30,4676.38,LOW
VIC1,5/01/2021 17:00,4800.64,LOW
VIC1,5/01/2021 17:30,4793.5,LOW
VIC1,5/01/2021 18:00,4784.42,LOW
VIC1,5/01/2021 18:30,4734.61,LOW
VIC1,5/01/2021 19:00,4711.38,LOW
VIC1,5/01/2021 19:30,4739.94,LOW
VIC1,5/01/2021 20:00,4741.02,LOW
VIC1,5/01/2021 20:30,4748.56,LOW
VIC1,5/01/2021 21:00,4624.49,LOW
VIC1,5/01/2021 21:30,4476.93,LOW
VIC1,5/01/2021 22:00,4325.86,LOW
VIC1,5/01/2021 22:30,4228.13,LOW
VIC1,5/01/2021 23:00,4181.25,LOW
VIC1,5/01/2021 23:30,4400.28,LOW
VIC1,6/01/2021 0:00,4337.46,LOW
VIC1,6/01/2021 0:30,4172.61,LOW
VIC1,6/01/2021 1:00,4042.4,LOW
VIC1,6/01/2021 1:30,3933.45,LOW
VIC1,6/01/2021 2:00,3758.25,LOW
VIC1,6/01/2021 2:30,3667.78,LOW
VIC1,6/01/2021 3:00,3621.51,LOW
VIC1,6/01/2021 3:30,3639.11,LOW
VIC1,6/01/2021 4:00,3604.43,LOW
VIC1,6/01/2021 4:30,3732.67,LOW
VIC1,6/01/2021 5:00,3849.96,LOW
VIC1,6/01/2021 5:30,4030.4,LOW
VIC1,6/01/2021 6:00,4160.78,LOW
VIC1,6/01/2021 6:30,4352.58,LOW
VIC1,6/01/2021 7:00,4475.08,LOW
VIC1,6/01/2021 7:30,4458.01,LOW
VIC1,6/01/2021 8:00,4472.88,LOW
VIC1,6/01/2021 8:30,4438.57,LOW
VIC1,6/01/2021 9:00,4437.5,LOW
VIC1,6/01/2021 9:30,4396.93,LOW
VIC1,6/01/2021 10:00,4293.68,LOW
VIC1,6/01/2021 10:30,4255.88,LOW
VIC1,6/01/2021 11:00,4179.7,LOW
VIC1,6/01/2021 11:30,4151.18,LOW
VIC1,6/01/2021 12:00,4083.11,LOW
VIC1,6/01/2021 12:30,4023.64,LOW
VIC1,6/01/2021 13:00,4036.13,LOW
VIC1,6/01/2021 13:30,3989.37,LOW
VIC1,6/01/2021 14:00,3959.18,LOW
VIC1,6/01/2021 14:30,3941.92,LOW
VIC1,6/01/2021 15:00,3907.58,LOW
VIC1,6/01/2021 15:30,3985.51,LOW
VIC1,6/01/2021 16:00,4102.1,LOW
VIC1,6/01/2021 16:30,4238.07,LOW
VIC1,6/01/2021 17:00,4471.44,LOW
VIC1,6/01/2021 17:30,4564.33,LOW
VIC1,6/01/2021 18:00,4631.46,LOW
VIC1,6/01/2021 18:30,4688.65,LOW
VIC1,6/01/2021 19:00,4683.5,LOW
VIC1,6/01/2021 19:30,4691.13,LOW
VIC1,6/01/2021 20:00,4650.75,LOW
VIC1,6/01/2021 20:30,4651.53,LOW
VIC1,6/01/2021 21:00,4530.97,LOW
VIC1,6/01/2021 21:30,4404.81,LOW
VIC1,6/01/2021 22:00,4234.35,LOW
VIC1,6/01/2021 22:30,4152.41,LOW
VIC1,6/01/2021 23:00,4098.04,LOW
VIC1,6/01/2021 23:30,4314.46,LOW
VIC1,7/01/2021 0:00,4301.01,LOW
VIC1,7/01/2021 0:30,4159.24,LOW
VIC1,7/01/2021 1:00,4007.52,LOW
VIC1,7/01/2021 1:30,3924.49,LOW
VIC1,7/01/2021 2:00,3801.39,LOW
VIC1,7/01/2021 2:30,3733.17,LOW
VIC1,7/01/2021 3:00,3653.18,LOW
VIC1,7/01/2021 3:30,3648.83,LOW
VIC1,7/01/2021 4:00,3668.23,LOW
VIC1,7/01/2021 4:30,3772.91,LOW
VIC1,7/01/2021 5:00,3868.6,LOW
VIC1,7/01/2021 5:30,4010.59,LOW
VIC1,7/01/2021 6:00,4193.88,LOW
VIC1,7/01/2021 6:30,4374.55,LOW
VIC1,7/01/2021 7:00,4451.58,LOW
VIC1,7/01/2021 7:30,4364.15,LOW
VIC1,7/01/2021 8:00,4300.5,LOW
VIC1,7/01/2021 8:30,4228.69,LOW
VIC1,7/01/2021 9:00,4107.84,LOW
VIC1,7/01/2021 9:30,4001,LOW
VIC1,7/01/2021 10:00,3946.17,LOW
VIC1,7/01/2021 10:30,3948.77,LOW
VIC1,7/01/2021 11:00,3923.23,LOW
VIC1,7/01/2021 11:30,3735.18,LOW
VIC1,7/01/2021 12:00,3789.29,LOW
VIC1,7/01/2021 12:30,3857.41,LOW
VIC1,7/01/2021 13:00,3866.14,LOW
VIC1,7/01/2021 13:30,3865.74,LOW
VIC1,7/01/2021 14:00,3859.58,LOW
VIC1,7/01/2021 14:30,3881.39,LOW
VIC1,7/01/2021 15:00,3967.34,LOW
VIC1,7/01/2021 15:30,4078.62,LOW
VIC1,7/01/2021 16:00,4255.47,LOW
VIC1,7/01/2021 16:30,4452.02,LOW
VIC1,7/01/2021 17:00,4658.97,LOW
VIC1,7/01/2021 17:30,4801.46,LOW
VIC1,7/01/2021 18:00,4885.53,LOW
VIC1,7/01/2021 18:30,4953.25,LOW
VIC1,7/01/2021 19:00,4994.78,LOW
VIC1,7/01/2021 19:30,4935.94,LOW
VIC1,7/01/2021 20:00,4898.52,LOW
VIC1,7/01/2021 20:30,4832.16,LOW
VIC1,7/01/2021 21:00,4689.22,LOW
VIC1,7/01/2021 21:30,4520.31,LOW
VIC1,7/01/2021 22:00,4370.07,LOW
VIC1,7/01/2021 22:30,4267.15,LOW
VIC1,7/01/2021 23:00,4189.34,LOW
VIC1,7/01/2021 23:30,4351.5,LOW
VIC1,8/01/2021 0:00,4332.97,LOW
VIC1,8/01/2021 0:30,4145.06,LOW
VIC1,8/01/2021 1:00,3987.35,LOW
VIC1,8/01/2021 1:30,3877.03,LOW
VIC1,8/01/2021 2:00,3756.34,LOW
VIC1,8/01/2021 2:30,3679.97,LOW
VIC1,8/01/2021 3:00,3623.76,LOW
VIC1,8/01/2021 3:30,3621.66,LOW
VIC1,8/01/2021 4:00,3659.89,LOW
VIC1,8/01/2021 4:30,3736.69,LOW
VIC1,8/01/2021 5:00,3941.66,LOW
VIC1,8/01/2021 5:30,4093.97,LOW
VIC1,8/01/2021 6:00,4233.31,LOW
VIC1,8/01/2021 6:30,4415.24,LOW
VIC1,8/01/2021 7:00,4474.34,LOW
VIC1,8/01/2021 7:30,4389.09,LOW
VIC1,8/01/2021 8:00,4336.35,LOW
VIC1,8/01/2021 8:30,4254.08,LOW
VIC1,8/01/2021 9:00,4128.74,LOW
VIC1,8/01/2021 9:30,4003.76,LOW
VIC1,8/01/2021 10:00,3902.25,LOW
VIC1,8/01/2021 10:30,3864.82,LOW
VIC1,8/01/2021 11:00,3834.42,LOW
VIC1,8/01/2021 11:30,3805.62,LOW
VIC1,8/01/2021 12:00,3807.65,LOW
VIC1,8/01/2021 12:30,3875.34,LOW
VIC1,8/01/2021 13:00,3877.2,LOW
VIC1,8/01/2021 13:30,3904.56,LOW
VIC1,8/01/2021 14:00,4002.28,LOW
VIC1,8/01/2021 14:30,4107.87,LOW
VIC1,8/01/2021 15:00,4235.88,LOW
VIC1,8/01/2021 15:30,4424.57,LOW
VIC1,8/01/2021 16:00,4552.75,LOW
VIC1,8/01/2021 16:30,4760.74,LOW
VIC1,8/01/2021 17:00,5030.49,LOW
VIC1,8/01/2021 17:30,5130.86,LOW
VIC1,8/01/2021 18:00,5274.86,LOW
VIC1,8/01/2021 18:30,5365.19,LOW
VIC1,8/01/2021 19:00,5352.25,MEDIUM
VIC1,8/01/2021 19:30,5321.8,MEDIUM
VIC1,8/01/2021 20:00,5216.67,LOW
VIC1,8/01/2021 20:30,5116.89,LOW
VIC1,8/01/2021 21:00,4968.55,LOW
VIC1,8/01/2021 21:30,4796.17,LOW
VIC1,8/01/2021 22:00,4646.01,LOW
VIC1,8/01/2021 22:30,4541.94,LOW
VIC1,8/01/2021 23:00,4460.75,LOW
VIC1,8/01/2021 23:30,4656.76,LOW
VIC1,9/01/2021 0:00,4598.48,LOW
VIC1,9/01/2021 0:30,4424.35,LOW
VIC1,9/01/2021 1:00,4279.01,LOW
VIC1,9/01/2021 1:30,4176.22,LOW
VIC1,9/01/2021 2:00,4039.6,LOW
VIC1,9/01/2021 2:30,3979.26,LOW
VIC1,9/01/2021 3:00,3928.36,LOW
VIC1,9/01/2021 3:30,3909.47,LOW
VIC1,9/01/2021 4:00,3903.84,LOW
VIC1,9/01/2021 4:30,3913.99,LOW
VIC1,9/01/2021 5:00,3949.43,LOW
VIC1,9/01/2021 5:30,3968.83,LOW
VIC1,9/01/2021 6:00,4004.74,LOW
VIC1,9/01/2021 6:30,4038.81,LOW
VIC1,9/01/2021 7:00,4058.78,LOW
VIC1,9/01/2021 7:30,4025.04,LOW
VIC1,9/01/2021 8:00,3938.28,LOW
VIC1,9/01/2021 8:30,3890.16,LOW
VIC1,9/01/2021 9:00,3820.83,LOW
VIC1,9/01/2021 9:30,3754.2,LOW
VIC1,9/01/2021 10:00,3694.37,LOW
VIC1,9/01/2021 10:30,3733.38,LOW
VIC1,9/01/2021 11:00,3741.06,LOW
VIC1,9/01/2021 11:30,3748.66,LOW
VIC1,9/01/2021 12:00,3783.38,LOW
VIC1,9/01/2021 12:30,3836.24,LOW
VIC1,9/01/2021 13:00,3880.59,LOW
VIC1,9/01/2021 13:30,3999.99,LOW
VIC1,9/01/2021 14:00,4099.24,LOW
VIC1,9/01/2021 14:30,4222.58,LOW
VIC1,9/01/2021 15:00,4407.3,LOW
VIC1,9/01/2021 15:30,4665.69,LOW
VIC1,9/01/2021 16:00,4908.51,LOW
VIC1,9/01/2021 16:30,5212.34,LOW
VIC1,9/01/2021 17:00,5452.03,MEDIUM
VIC1,9/01/2021 17:30,5653.12,MEDIUM
VIC1,9/01/2021 18:00,5812.76,MEDIUM
VIC1,9/01/2021 18:30,5863.37,MEDIUM
VIC1,9/01/2021 19:00,5820.93,MEDIUM
VIC1,9/01/2021 19:30,5662.42,MEDIUM
VIC1,9/01/2021 20:00,5474.29,LOW
VIC1,9/01/2021 20:30,5297.54,LOW
VIC1,9/01/2021 21:00,5154.15,LOW
VIC1,9/01/2021 21:30,4976.27,LOW
VIC1,9/01/2021 22:00,4816.23,LOW
VIC1,9/01/2021 22:30,4708.67,LOW
VIC1,9/01/2021 23:00,4617.32,LOW
VIC1,9/01/2021 23:30,4786.31,LOW
VIC1,10/01/2021 0:00,4677.96,LOW
VIC1,10/01/2021 0:30,4512.79,MEDIUM
VIC1,10/01/2021 1:00,4387.71,MEDIUM
VIC1,10/01/2021 1:30,4233.93,LOW
VIC1,10/01/2021 2:00,4104.16,LOW
VIC1,10/01/2021 2:30,4011.83,LOW
VIC1,10/01/2021 3:00,3918.92,LOW
VIC1,10/01/2021 3:30,3922.55,LOW
VIC1,10/01/2021 4:00,3889.12,LOW
VIC1,10/01/2021 4:30,3876.59,LOW
VIC1,10/01/2021 5:00,3878.62,LOW
VIC1,10/01/2021 5:30,3890.72,LOW
VIC1,10/01/2021 6:00,3902.16,LOW
VIC1,10/01/2021 6:30,3909.39,LOW
VIC1,10/01/2021 7:00,3998.23,LOW
VIC1,10/01/2021 7:30,3878.62,LOW
VIC1,10/01/2021 8:00,3881.51,LOW
VIC1,10/01/2021 8:30,3819.96,LOW
VIC1,10/01/2021 9:00,3741.78,LOW
VIC1,10/01/2021 9:30,3782.76,LOW
VIC1,10/01/2021 10:00,3749.76,LOW
VIC1,10/01/2021 10:30,3791.15,LOW
VIC1,10/01/2021 11:00,3872.04,LOW
VIC1,10/01/2021 11:30,3950.64,LOW
VIC1,10/01/2021 12:00,4127.82,LOW
VIC1,10/01/2021 12:30,4278.76,LOW
VIC1,10/01/2021 13:00,4374.02,LOW
VIC1,10/01/2021 13:30,4567.09,LOW
VIC1,10/01/2021 14:00,4703.46,LOW
VIC1,10/01/2021 14:30,4930.46,LOW
VIC1,10/01/2021 15:00,5206.77,LOW
VIC1,10/01/2021 15:30,5496.2,LOW
VIC1,10/01/2021 16:00,5828.82,MEDIUM
VIC1,10/01/2021 16:30,6180.57,MEDIUM
VIC1,10/01/2021 17:00,6554.68,MEDIUM
VIC1,10/01/2021 17:30,6688.79,MEDIUM
VIC1,10/01/2021 18:00,6767.26,MEDIUM
VIC1,10/01/2021 18:30,6859.02,MEDIUM
VIC1,10/01/2021 19:00,6793.4,MEDIUM
VIC1,10/01/2021 19:30,6675.8,MEDIUM
VIC1,10/01/2021 20:00,6500.5,MEDIUM
VIC1,10/01/2021 20:30,6288.97,MEDIUM
VIC1,10/01/2021 21:00,6047.72,MEDIUM
VIC1,10/01/2021 21:30,5678.26,MEDIUM
VIC1,10/01/2021 22:00,5368,LOW
VIC1,10/01/2021 22:30,5148.35,LOW
VIC1,10/01/2021 23:00,4927.19,LOW
VIC1,10/01/2021 23:30,5013.8,LOW
VIC1,11/01/2021 0:00,4904.68,LOW
VIC1,11/01/2021 0:30,4705.56,LOW
VIC1,11/01/2021 1:00,4563.07,LOW
VIC1,11/01/2021 1:30,4418.58,LOW
VIC1,11/01/2021 2:00,4247.64,LOW
VIC1,11/01/2021 2:30,4131.8,LOW
VIC1,11/01/2021 3:00,4101.73,LOW
VIC1,11/01/2021 3:30,4146.4,LOW
VIC1,11/01/2021 4:00,4179.65,LOW
VIC1,11/01/2021 4:30,4282.41,LOW
VIC1,11/01/2021 5:00,4355.07,LOW
VIC1,11/01/2021 5:30,4597.29,LOW
VIC1,11/01/2021 6:00,4749.74,LOW
VIC1,11/01/2021 6:30,4984.52,LOW
VIC1,11/01/2021 7:00,5198.24,LOW
VIC1,11/01/2021 7:30,5349.88,LOW
VIC1,11/01/2021 8:00,5463.77,LOW
VIC1,11/01/2021 8:30,5551.26,LOW
VIC1,11/01/2021 9:00,5582.37,LOW
VIC1,11/01/2021 9:30,5653.34,LOW
VIC1,11/01/2021 10:00,5734.66,LOW
VIC1,11/01/2021 10:30,5894.98,LOW
VIC1,11/01/2021 11:00,6088.52,LOW
VIC1,11/01/2021 11:30,6254.85,LOW
VIC1,11/01/2021 12:00,6539.03,LOW
VIC1,11/01/2021 12:30,6810.91,LOW
VIC1,11/01/2021 13:00,7007.43,LOW
VIC1,11/01/2021 13:30,7247.26,MEDIUM
VIC1,11/01/2021 14:00,7377.14,MEDIUM
VIC1,11/01/2021 14:30,7458.96,MEDIUM
VIC1,11/01/2021 15:00,7654.08,MEDIUM
VIC1,11/01/2021 15:30,7793.49,MEDIUM
VIC1,11/01/2021 16:00,7918.83,MEDIUM
VIC1,11/01/2021 16:30,7985.75,LOW
VIC1,11/01/2021 17:00,8135.29,MEDIUM
VIC1,11/01/2021 17:30,8182.55,MEDIUM
VIC1,11/01/2021 18:00,8051.6,MEDIUM
VIC1,11/01/2021 18:30,8004.79,MEDIUM
VIC1,11/01/2021 19:00,7790.53,MEDIUM
VIC1,11/01/2021 19:30,7540.9,LOW
VIC1,11/01/2021 20:00,7302.41,LOW
VIC1,11/01/2021 20:30,7062.61,LOW
VIC1,11/01/2021 21:00,6708.04,LOW
VIC1,11/01/2021 21:30,6368.42,LOW
VIC1,11/01/2021 22:00,5989.41,LOW
VIC1,11/01/2021 22:30,5609.13,LOW
VIC1,11/01/2021 23:00,5409.97,LOW
VIC1,11/01/2021 23:30,5531.84,LOW
VIC1,12/01/2021 0:00,5287.18,LOW
VIC1,12/01/2021 0:30,4945.68,LOW
VIC1,12/01/2021 1:00,4753.63,LOW
VIC1,12/01/2021 1:30,4618.37,LOW
VIC1,12/01/2021 2:00,4460.36,LOW
VIC1,12/01/2021 2:30,4337.54,LOW
VIC1,12/01/2021 3:00,4266.78,LOW
VIC1,12/01/2021 3:30,4220.08,LOW
VIC1,12/01/2021 4:00,4248.96,LOW
VIC1,12/01/2021 4:30,4339.55,LOW
VIC1,12/01/2021 5:00,4433.71,LOW
VIC1,12/01/2021 5:30,4704.64,LOW
VIC1,12/01/2021 6:00,4823.31,LOW
VIC1,12/01/2021 6:30,5036.82,LOW
VIC1,12/01/2021 7:00,5139.97,LOW
VIC1,12/01/2021 7:30,5079.52,LOW
VIC1,12/01/2021 8:00,5054.28,LOW
VIC1,12/01/2021 8:30,5053.7,LOW
VIC1,12/01/2021 9:00,4967.18,LOW
VIC1,12/01/2021 9:30,4868.6,LOW
VIC1,12/01/2021 10:00,4805.6,LOW
VIC1,12/01/2021 10:30,4672.04,LOW
VIC1,12/01/2021 11:00,4677.09,LOW
VIC1,12/01/2021 11:30,4657.32,LOW
VIC1,12/01/2021 12:00,4534.94,LOW
VIC1,12/01/2021 12:30,4456.79,LOW
